"Campaign name","Ad set name",Gender,Age,"Ad name","Amount spent (THB)",Reach,Impressions,"Link clicks","Landing page views","Website adds to cart","Website purchases","Website purchases conversion value","Reporting starts","Reporting ends"
"4040 | ONN | website Traffic Campaign  | Double Day 6.6 | 1-7June 2026","Double Day 6.6 | 1-7June 2026-Broad",male,65+,"Double Day 6.6 | 1-7June 2026",6.33066828,140,153,2,1,,,,2026-06-01,2026-06-17
"4040 | ONN | website Conversion | Always On",Gold-Board-Conversion,unknown,35-44,"นาคครุฑเสริมบารมี | 11- 20 Jun 26",6.25108778,103,248,1,1,,,,2026-06-01,2026-06-17
"4040 | ONN | website Traffic Campaign  | Double Day 6.6 | 1-7June 2026","Double Day 6.6 | 1-7June 2026-Retargeting",male,45-54,"Double Day 6.6 | 1-7June 2026",5.84,121,165,2,3,,,,2026-06-01,2026-06-17
"4040 | ONN | website Conversion | Always On",Gold-Board-Conversion,unknown,45-54,"นาคครุฑเสริมบารมี | 11- 20 Jun 26",5.81030595,78,151,1,1,,,,2026-06-01,2026-06-17
"4040 | ONN | website Conversion | Always On",Gold-Retargeting-Conversion,female,18-24,"ปีเซี๊ยะนำโชค 1-10 June 2026-Conversion",5.26015364,122,168,,,,1,67840,2026-06-01,2026-06-17
"4040 | ONN | website Traffic Campaign  | Double Day 6.6 | 1-7June 2026","Double Day 6.6 | 1-7June 2026-Retargeting",female,18-24,"Double Day 6.6 | 1-7June 2026",4.9,112,138,1,1,,,,2026-06-01,2026-06-17
"4040 | ONN | website Conversion | Always On",Gold-Lookalike-Conversion,male,18-24,"นาคครุฑเสริมบารมี | 11- 20 Jun 26",4.83958662,246,302,1,1,1,,,2026-06-01,2026-06-17
"4040 | ONN | website Conversion | Always On",Gold-Retargeting-Conversion,unknown,35-44,"Laser Your Pride Be Proud 1-10 June 2026-Conversion",4.71025435,46,118,2,1,1,,,2026-06-01,2026-06-17
"4040 | ONN | website Traffic Campaign  | Live | June 2026","Live | June 2026 -Lookalike",male,45-54,"Live | 10 June 2026",4.44,128,133,2,2,,,,2026-06-01,2026-06-17
"4040 | ONN | website Conversion | Always On",Gold-Lookalike-Conversion,female,65+,"นาคครุฑเสริมบารมี | 11- 20 Jun 26",4.40873315,118,201,1,1,,,,2026-06-01,2026-06-17
"4040 | ONN | website Traffic | Always On",Gold-Retargeting,unknown,25-34,"ผ่อนทอง 0% June 2026",4.39577747,216,403,7,4,1,,,2026-06-01,2026-06-17
"4040 | ONN | website Conversion | Always On",Gold-Board-Conversion,male,55-64,"ปีเซี๊ยะนำโชค 1-10 June 2026-Conversion",4.37990436,92,148,2,2,1,,,2026-06-01,2026-06-17
"4040 | ONN | website Traffic | Always On",Gold-Lookalike,male,18-24,"ผ่อนทอง 0% June 2026",4.28276276,445,508,8,7,,,,2026-06-01,2026-06-17
"4040 | ONN | website Conversion | Always On",Gold-Board-Conversion,female,65+,"ปีเซี๊ยะนำโชค 1-10 June 2026-Conversion",4.27990654,85,137,2,1,,,,2026-06-01,2026-06-17
"4040 | ONN | website Conversion | Always On",Gold-Board-Conversion,male,18-24,"ปีเซี๊ยะนำโชค 1-10 June 2026-Conversion",4.25990698,85,152,1,1,2,,,2026-06-01,2026-06-17
"4040 | ONN | website Traffic Campaign  | Double Day 6.6 | 1-7June 2026","Double Day 6.6 | 1-7June 2026-Retargeting",female,55-64,"Double Day 6.6 | 1-7June 2026",4.22,95,119,3,2,,,,2026-06-01,2026-06-17
"4040 | ONN | website Conversion | Always On",Gold-Board-Conversion,unknown,45-54,"ปีเซี๊ยะนำโชค 1-10 June 2026-Conversion",4.01991222,28,43,,,,,,2026-06-01,2026-06-17
